t=0 sw=1 flow=0 pkt=0 | [12:13:15.845] [bmv2] [T] [thread 70267] [0.0] [cxt 0] Action log_probe106
t=0 sw=1 flow=0 pkt=0 | [12:13:15.846] [bmv2] [T] [thread 70267] [0.0] [cxt 0] log_probe.p4(106) Primitive shared_counters.read(n, 32w0)
t=0 sw=1 flow=0 pkt=0 | [12:13:15.846] [bmv2] [T] [thread 70267] [0.0] [cxt 0] Read register 'shared_counters' at index 0 read value 1
t=0 sw=1 flow=0 pkt=0 | [12:13:15.846] [bmv2] [T] [thread 70267] [0.0] [cxt 0] log_probe.p4(107) Primitive n + 1
t=0 sw=1 flow=0 pkt=0 | [12:13:15.846] [bmv2] [T] [thread 70267] [0.0] [cxt 0] log_probe.p4(107) Primitive shared_counters.write(32w0, n + 1)
t=0 sw=1 flow=0 pkt=0 | [12:13:15.847] [bmv2] [T] [thread 70267] [0.0] [cxt 0] Wrote register 'shared_counters' at index 0 with value 2
t=0 sw=1 flow=0 pkt=0 | [12:13:15.847] [bmv2] [T] [thread 70267] [0.0] [cxt 0] log_probe.p4(111) Primitive shared_counters.read(e, 32w1)
t=0 sw=1 flow=0 pkt=0 | [12:13:15.847] [bmv2] [T] [thread 70267] [0.0] [cxt 0] Read register 'shared_counters' at index 1 read value 0
t=0 sw=1 flow=0 pkt=0 | [12:13:15.847] [bmv2] [T] [thread 70267] [0.0] [cxt 0] log_probe.p4(112) Primitive e + 1
t=0 sw=1 flow=0 pkt=0 | [12:13:15.848] [bmv2] [T] [thread 70267] [0.0] [cxt 0] log_probe.p4(112) Primitive shared_counters.write(32w1, e + 1)
t=0 sw=1 flow=0 pkt=0 | [12:13:15.848] [bmv2] [T] [thread 70267] [0.0] [cxt 0] Wrote register 'shared_counters' at index 1 with value 1
t=0 sw=1 flow=0 pkt=0 | [12:13:15.848] [bmv2] [D] [thread 70267] [0.0] [cxt 0] Pipeline 'egress': end
t=0 sw=1 flow=0 pkt=0 | [12:13:15.849] [bmv2] [D] [thread 70267] [0.0] [cxt 0] Deparser 'deparser': start
t=0 sw=1 flow=0 pkt=0 | [12:13:15.849] [bmv2] [D] [thread 70267] [0.0] [cxt 0] Deparsing header 'ethernet'
t=0 sw=1 flow=0 pkt=0 | [12:13:15.849] [bmv2] [D] [thread 70267] [0.0] [cxt 0] Deparsing header 'ipv4'
t=0 sw=1 flow=0 pkt=0 | [12:13:15.849] [bmv2] [D] [thread 70267] [0.0] [cxt 0] Deparser 'deparser': end
